         4040070 function calls (4012306 primitive calls) in 8.867 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       68    0.010    0.000    0.271    0.004 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:317(apply)
        9    0.000    0.000    0.266    0.030 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\frame.py:4130(_getitem_bool_array)
       12    0.000    0.000    0.263    0.022 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\generic.py:4142(_take_with_is_copy)
       13    0.000    0.000    0.263    0.020 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\generic.py:4027(take)
       15    0.000    0.000    0.263    0.018 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:869(take)
  178/169    0.001    0.000    0.263    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\array_algos\take.py:59(take_nd)
        1    0.000    0.000    0.261    0.261 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\strings\accessor.py:3197(upper)
        1    0.000    0.000    0.261    0.261 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\strings\object_array.py:401(_str_upper)
      167    0.232    0.001    0.260    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\array_algos\take.py:120(_take_nd_ndarray)
       18    0.000    0.000    0.258    0.014 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:623(reindex_indexer)
       12    0.000    0.000    0.257    0.021 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:687(<listcomp>)
      142    0.001    0.000    0.257    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\blocks.py:1287(take_nd)
748790/748786    0.169    0.000    0.229    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\dtypes\missing.py:184(_isna)
       11    0.194    0.018    0.194    0.018 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\numpy\core\shape_base.py:219(vstack)
        1    0.012    0.012    0.179    0.179 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\src\core\options_flow_analyzer.py:158(_add_advanced_features)
      168    0.173    0.001    0.173    0.001 {method 'copy' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.168    0.168 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\src\ui\tabs\flow_tab.py:269(update_heatmap)
   748674    0.114    0.000    0.157    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\strings\object_array.py:402(<lambda>)
