         132356 function calls (120601 primitive calls) in 0.384 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      161    0.000    0.000    0.005    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:5185(_set_prop)
       37    0.000    0.000    0.004    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\ops\common.py:62(new_method)
       23    0.000    0.000    0.004    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\frame.py:4271(__setitem__)
       23    0.000    0.000    0.004    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\frame.py:4514(_set_item)
        1    0.000    0.000    0.004    0.004 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\tools\datetimes.py:673(to_datetime)
       62    0.001    0.000    0.004    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\series.py:389(__init__)
       23    0.000    0.000    0.004    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\frame.py:4481(_set_item_mgr)
        1    0.000    0.000    0.004    0.004 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\generic.py:1420(aggregate)
        1    0.000    0.000    0.003    0.003 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\apply.py:172(agg)
        2    0.000    0.000    0.003    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\frame.py:694(__init__)
        1    0.000    0.000    0.003    0.003 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\apply.py:415(agg_dict_like)
        1    0.000    0.000    0.003    0.003 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\apply.py:1575(agg_or_apply_dict_like)
        2    0.000    0.000    0.003    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\construction.py:423(dict_to_mgr)
        9    0.000    0.000    0.003    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\indexing.py:882(__setitem__)
        2    0.000    0.000    0.003    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:5597(to_plotly_json)
13700/13585    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.003    0.003 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\src\core\options_flow_analyzer.py:142(compute_comprehensive_metrics)
        2    0.000    0.000    0.003    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\construction.py:96(arrays_to_mgr)
1740/1729    0.001    0.000    0.003    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:4916(__setattr__)
       20    0.000    0.000    0.003    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\series.py:6110(_cmp_method)
        1    0.000    0.000    0.003    0.003 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\tools\datetimes.py:209(_maybe_cache)
        1    0.003    0.003    0.003    0.003 {method 'decode' of 'bytes' objects}
       39    0.000    0.000    0.003    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:317(apply)
        1    0.000    0.000    0.003    0.003 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\graph_objs\_figure.py:5(__init__)
       57    0.000    0.000    0.003    0.000 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\frame.py:4062(__getitem__)
